Раздорской ставицы  Мельвиковъ Григорий.
— — Ерупновъ Василий,
Етеревской — Маликовъ Ефимъ.
— — Давыдовъ Василий.
Сергевской — Бузнецовъ Филиипъ.
— — Поповъ Петръ.
Малодльсквой — Киеелевъ Степанъ.
Березовекой — Ловягинъ Род1оЪъ.
—— -- Петрушизъ Ивалт,
— — Пакивъ Ваилй.
Раепонинской — Юровъ Ивавъ.

— — АникиаЪъ Александръ,
ВКраснокутской — Валуывовъ Митрофанъ.
— — Поповъ Захаръ.

— — Боролевъ АлексЪй.
Арчадинской — ВудиновЪ Федоръ.
— — Блиновъ Степанъ,
— — Егоровъ Артеяъ.
Нереконсквой — Маркинъ Спиридонъ.
— — Тюрьхор$зовъ Ирохоръ.
— — Тапиливъ Махаилъ.
— -— Филиппов Андрей.
—- — Федосовъ Ефимъ..
Усть-Хоперской — — Подтемковь Иванъ,
— — Евдокамовъь Иванъ.
— — Ульяновъ Иванъ.
Кременской — Поповъ Ивавъ.
— — Сздовъ Никифоръ.
— — Ржавековъ Максимъ.
Бл№текой — Бородивъ Тимофей.
— — Цыуловъ Петръ.
— — Текутовъ Василй.
— — Фроловъ Петръ.
Бепинской — Лестевъ Савва.
— — Ветютневъ Иванъ.
Островской — Карасевъ Семенъ.
— — Нтеничкияъ Николай.
Арчадинской — Дроновъ [сда.
